baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.8944444444444445, 'evidence_accuracy': 0.1732418524871355, 'evidence_precision': 0.1384335154826958, 'evidence_recall': 0.8941176470588236, 'evidence_f1': 0.23974763406940064, 'similarity_metrics': np.float32(0.92400646), 'contradiction': 0.9020408987998962}","{'distance': 0.8218085106382979, 'evidence_accuracy': 0.2195540308747856, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.8705882352941177, 'evidence_f1': 0.24543946932006636, 'similarity_metrics': np.float32(0.9316481), 'contradiction': 0.9478552341461182}",,"{'distance': 0.433852140077821, 'evidence_accuracy': 0.48027444253859347, 'evidence_precision': 0.1267123287671233, 'evidence_recall': 0.43529411764705883, 'evidence_f1': 0.19628647214854114, 'similarity_metrics': np.float32(0.98125565), 'contradiction': 0.9596164226531982}","{'distance': 0.43495145631067966, 'evidence_accuracy': 0.483704974271012, 'evidence_precision': 0.13013698630136986, 'evidence_recall': 0.4470588235294118, 'evidence_f1': 0.2015915119363395, 'similarity_metrics': np.float32(0.98511267), 'contradiction': 0.9452313780784607}","{'distance': 0.5535097813578826, 'evidence_accuracy': 0.34133790737564323, 'evidence_precision': 0.11568123393316196, 'evidence_recall': 0.5294117647058824, 'evidence_f1': 0.18987341772151897, 'similarity_metrics': np.float32(0.97475725), 'contradiction': 0.979032039642334}","{'distance': 0.010291595197255532, 'evidence_accuracy': 0.8610634648370498, 'evidence_precision': 0.8333333333333334, 'evidence_recall': 0.058823529411764705, 'evidence_f1': 0.10989010989010989, 'similarity_metrics': np.float32(0.9870347), 'contradiction': 0.028561675921082497}"
"{'distance': 0.7821100917431193, 'evidence_accuracy': 0.1582537517053206, 'evidence_precision': 0.09247648902821316, 'evidence_recall': 0.6082474226804123, 'evidence_f1': 0.16054421768707483, 'similarity_metrics': np.float32(0.8423034), 'contradiction': 0.9791771769523621}","{'distance': 0.8258823529411765, 'evidence_accuracy': 0.15279672578444747, 'evidence_precision': 0.10303030303030303, 'evidence_recall': 0.7010309278350515, 'evidence_f1': 0.1796565389696169, 'similarity_metrics': np.float32(0.8443508), 'contradiction': 0.9881354570388794}","{'distance': 0.8424242424242424, 'evidence_accuracy': 0.16916780354706684, 'evidence_precision': 0.11676646706586827, 'evidence_recall': 0.8041237113402062, 'evidence_f1': 0.20392156862745098, 'similarity_metrics': np.float32(0.844357), 'contradiction': 0.9875323176383972}","{'distance': 0.426626323751891, 'evidence_accuracy': 0.48567530695770805, 'evidence_precision': 0.10451977401129943, 'evidence_recall': 0.38144329896907214, 'evidence_f1': 0.16407982261640797, 'similarity_metrics': np.float32(0.9904338), 'contradiction': 0.9896145462989807}",,"{'distance': 0.21802325581395354, 'evidence_accuracy': 0.6671214188267395, 'evidence_precision': 0.12307692307692308, 'evidence_recall': 0.24742268041237114, 'evidence_f1': 0.16438356164383564, 'similarity_metrics': np.float32(0.9864321), 'contradiction': 0.9900850057601929}","{'distance': 0.004092769440654842, 'evidence_accuracy': 0.869031377899045, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.020618556701030927, 'evidence_f1': 0.04, 'similarity_metrics': np.float32(0.99868155), 'contradiction': 0.26003971695899963}"
"{'distance': 0.5673166202414113, 'evidence_accuracy': 0.3522388059701492, 'evidence_precision': 0.02745995423340961, 'evidence_recall': 0.5714285714285714, 'evidence_f1': 0.05240174672489082, 'similarity_metrics': np.float32(0.9506289), 'contradiction': 0.08421201258897781}",,,"{'distance': 0.40034662045060654, 'evidence_accuracy': 0.517910447761194, 'evidence_precision': 0.033950617283950615, 'evidence_recall': 0.5238095238095238, 'evidence_f1': 0.06376811594202898, 'similarity_metrics': np.float32(0.87492955), 'contradiction': 0.19909244775772095}","{'distance': 0.8445040214477212, 'evidence_accuracy': 0.10298507462686567, 'evidence_precision': 0.026143790849673203, 'evidence_recall': 0.7619047619047619, 'evidence_f1': 0.05055292259083729, 'similarity_metrics': np.float32(0.7886532), 'contradiction': 0.5913204550743103}",,"{'distance': 0.0014925373134327957, 'evidence_accuracy': 0.9701492537313433, 'evidence_precision': 1.0, 'evidence_recall': 0.047619047619047616, 'evidence_f1': 0.0909090909090909, 'similarity_metrics': np.float32(1.0000002), 'contradiction': 0.04590991139411926}"
"{'distance': 0.9598393574297188, 'evidence_accuracy': 0.10526315789473684, 'evidence_precision': 0.08972503617945007, 'evidence_recall': 1.0, 'evidence_f1': 0.1646746347941567, 'similarity_metrics': np.float32(0.853626), 'contradiction': 0.9898838996887207}","{'distance': 0.9608355091383812, 'evidence_accuracy': 0.10526315789473684, 'evidence_precision': 0.08972503617945007, 'evidence_recall': 1.0, 'evidence_f1': 0.1646746347941567, 'similarity_metrics': np.float32(0.8321567), 'contradiction': 0.9706986546516418}","{'distance': 0.9758389261744966, 'evidence_accuracy': 0.10099573257467995, 'evidence_precision': 0.0893371757925072, 'evidence_recall': 1.0, 'evidence_f1': 0.164021164021164, 'similarity_metrics': np.float32(0.8485007), 'contradiction': 0.9894571900367737}","{'distance': 0.28735632183908044, 'evidence_accuracy': 0.620199146514936, 'evidence_precision': 0.07112970711297072, 'evidence_recall': 0.27419354838709675, 'evidence_f1': 0.11295681063122923, 'similarity_metrics': np.float32(0.9924793), 'contradiction': 0.976464033126831}","{'distance': 0.8350515463917526, 'evidence_accuracy': 0.17923186344238975, 'evidence_precision': 0.09702660406885759, 'evidence_recall': 1.0, 'evidence_f1': 0.17689015691868756, 'similarity_metrics': np.float32(0.8437405), 'contradiction': 0.9928646087646484}","{'distance': 0.20642201834862384, 'evidence_accuracy': 0.6970128022759602, 'evidence_precision': 0.0918918918918919, 'evidence_recall': 0.27419354838709675, 'evidence_f1': 0.1376518218623482, 'similarity_metrics': np.float32(0.99004394), 'contradiction': 0.9895098209381104}","{'distance': 0.004267425320056861, 'evidence_accuracy': 0.9103840682788051, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.016129032258064516, 'evidence_f1': 0.03076923076923077, 'similarity_metrics': np.float32(1.0), 'contradiction': 0.0019688992761075497}"
,"{'distance': 0.7398058252427184, 'evidence_accuracy': 0.35377358490566035, 'evidence_precision': 0.25770308123249297, 'evidence_recall': 0.9108910891089109, 'evidence_f1': 0.4017467248908297, 'similarity_metrics': np.float32(0.77206963), 'contradiction': 0.05784126743674278}","{'distance': 0.7715430861723447, 'evidence_accuracy': 0.330188679245283, 'evidence_precision': 0.2506811989100817, 'evidence_recall': 0.9108910891089109, 'evidence_f1': 0.39316239316239315, 'similarity_metrics': np.float32(0.76541257), 'contradiction': 0.022708633914589882}","{'distance': 0.4335106382978723, 'evidence_accuracy': 0.4386792452830189, 'evidence_precision': 0.17535545023696683, 'evidence_recall': 0.36633663366336633, 'evidence_f1': 0.2371794871794872, 'similarity_metrics': np.float32(0.9222631), 'contradiction': 0.29318270087242126}","{'distance': 1.0, 'evidence_accuracy': 0.23820754716981132, 'evidence_precision': 0.23820754716981132, 'evidence_recall': 1.0, 'evidence_f1': 0.38476190476190475, 'similarity_metrics': np.float32(-0.012187543), 'contradiction': 0.3942854702472687}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.4693396226415094, 'evidence_precision': 0.12650602409638553, 'evidence_recall': 0.2079207920792079, 'evidence_f1': 0.15730337078651685, 'similarity_metrics': np.float32(0.9873722), 'contradiction': 0.48461028933525085}","{'distance': 0.011792452830188704, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.999534), 'contradiction': 0.0023040873929858208}"
,,,"{'distance': 0.3566765578635015, 'evidence_accuracy': 0.5479744136460555, 'evidence_precision': 0.047979797979797977, 'evidence_recall': 0.2878787878787879, 'evidence_f1': 0.08225108225108224, 'similarity_metrics': np.float32(0.93341345), 'contradiction': 0.9742266535758972}","{'distance': 0.940354147250699, 'evidence_accuracy': 0.10021321961620469, 'evidence_precision': 0.0706401766004415, 'evidence_recall': 0.9696969696969697, 'evidence_f1': 0.13168724279835392, 'similarity_metrics': np.float32(0.7870855), 'contradiction': 0.9873141646385193}","{'distance': 0.030530262453133394, 'evidence_accuracy': 0.906183368869936, 'evidence_precision': 0.19444444444444445, 'evidence_recall': 0.10606060606060606, 'evidence_f1': 0.13725490196078433, 'similarity_metrics': np.float32(0.9944787), 'contradiction': 0.9927583932876587}","{'distance': 0.005330490405117239, 'evidence_accuracy': 0.9264392324093816, 'evidence_precision': 0.2, 'evidence_recall': 0.015151515151515152, 'evidence_f1': 0.028169014084507046, 'similarity_metrics': np.float32(0.9986906), 'contradiction': 0.06871520727872849}"
"{'distance': 0.8972659486329744, 'evidence_accuracy': 0.16264521894548703, 'evidence_precision': 0.11352885525070956, 'evidence_recall': 1.0, 'evidence_f1': 0.20390824129141885, 'similarity_metrics': np.float32(0.84651655), 'contradiction': 0.9708349108695984}","{'distance': 0.9778156996587031, 'evidence_accuracy': 0.11528150134048257, 'evidence_precision': 0.10669077757685352, 'evidence_recall': 0.9833333333333333, 'evidence_f1': 0.1924959216965742, 'similarity_metrics': np.float32(0.6023936), 'contradiction': 0.9818398356437683}",,"{'distance': 0.4045174537987679, 'evidence_accuracy': 0.5335120643431636, 'evidence_precision': 0.13051470588235295, 'evidence_recall': 0.5916666666666667, 'evidence_f1': 0.213855421686747, 'similarity_metrics': np.float32(0.98578036), 'contradiction': 0.9836010336875916}","{'distance': 0.523568170299037, 'evidence_accuracy': 0.5093833780160858, 'evidence_precision': 0.1694915254237288, 'evidence_recall': 0.9166666666666666, 'evidence_f1': 0.28608582574772434, 'similarity_metrics': np.float32(0.9935724), 'contradiction': 0.991255521774292}","{'distance': 0.4030005173305742, 'evidence_accuracy': 0.5737265415549598, 'evidence_precision': 0.17486338797814208, 'evidence_recall': 0.8, 'evidence_f1': 0.28699551569506726, 'similarity_metrics': np.float32(0.97773015), 'contradiction': 0.9909504055976868}","{'distance': 0.04557640750670244, 'evidence_accuracy': 0.8489722966934763, 'evidence_precision': 0.0196078431372549, 'evidence_recall': 0.008333333333333333, 'evidence_f1': 0.011695906432748537, 'similarity_metrics': np.float32(0.998333), 'contradiction': 0.006631946656852961}"
"{'distance': 0.6233276157804459, 'evidence_accuracy': 0.35485391140433553, 'evidence_precision': 0.16401780038143673, 'evidence_recall': 0.8269230769230769, 'evidence_f1': 0.27374005305039784, 'similarity_metrics': np.float32(0.9998587), 'contradiction': 0.04406886175274849}","{'distance': 0.6233276157804459, 'evidence_accuracy': 0.35485391140433553, 'evidence_precision': 0.16401780038143673, 'evidence_recall': 0.8269230769230769, 'evidence_f1': 0.27374005305039784, 'similarity_metrics': np.float32(0.9998587), 'contradiction': 0.04406886175274849}","{'distance': 0.6233276157804459, 'evidence_accuracy': 0.35485391140433553, 'evidence_precision': 0.16401780038143673, 'evidence_recall': 0.8269230769230769, 'evidence_f1': 0.27374005305039784, 'similarity_metrics': np.float32(0.9998587), 'contradiction': 0.04406886175274849}","{'distance': 0.5256890098673018, 'evidence_accuracy': 0.4236569274269557, 'evidence_precision': 0.18213538032100487, 'evidence_recall': 0.8365384615384616, 'evidence_f1': 0.2991404011461318, 'similarity_metrics': np.float32(0.9970301), 'contradiction': 0.9955219030380249}","{'distance': 0.5256890098673018, 'evidence_accuracy': 0.4236569274269557, 'evidence_precision': 0.18213538032100487, 'evidence_recall': 0.8365384615384616, 'evidence_f1': 0.2991404011461318, 'similarity_metrics': np.float32(0.9970301), 'contradiction': 0.9955219030380249}","{'distance': 0.5230352303523036, 'evidence_accuracy': 0.4278982092365693, 'evidence_precision': 0.18194640338504936, 'evidence_recall': 0.8269230769230769, 'evidence_f1': 0.29826589595375724, 'similarity_metrics': np.float32(0.9944965), 'contradiction': 0.9842145442962646}","{'distance': 0.0032987747408105283, 'evidence_accuracy': 0.853440150801131, 'evidence_precision': 0.5714285714285714, 'evidence_recall': 0.01282051282051282, 'evidence_f1': 0.025078369905956112, 'similarity_metrics': np.float32(0.9294305), 'contradiction': 0.01796605996787548}"
,"{'distance': 0.41728395061728396, 'evidence_accuracy': 0.41201716738197425, 'evidence_precision': 0.13043478260869565, 'evidence_recall': 0.28846153846153844, 'evidence_f1': 0.17964071856287422, 'similarity_metrics': np.float32(0.9929092), 'contradiction': 0.09076973050832748}",,"{'distance': 0.5230024213075061, 'evidence_accuracy': 0.3605150214592275, 'evidence_precision': 0.14074074074074075, 'evidence_recall': 0.36538461538461536, 'evidence_f1': 0.20320855614973263, 'similarity_metrics': np.float32(0.9798263), 'contradiction': 0.7919177412986755}","{'distance': 0.3356562137049942, 'evidence_accuracy': 0.48497854077253216, 'evidence_precision': 0.12222222222222222, 'evidence_recall': 0.21153846153846154, 'evidence_f1': 0.15492957746478872, 'similarity_metrics': np.float32(0.9947253), 'contradiction': 0.9030880331993103}","{'distance': 0.793233082706767, 'evidence_accuracy': 0.34120171673819744, 'evidence_precision': 0.25304136253041365, 'evidence_recall': 1.0, 'evidence_f1': 0.40388349514563104, 'similarity_metrics': np.float32(0.5386603), 'contradiction': 0.8934946656227112}","{'distance': 0.006437768240343367, 'evidence_accuracy': 0.7703862660944206, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9902861), 'contradiction': 0.012969719246029854}"
"{'distance': 0.8667763157894737, 'evidence_accuracy': 0.09182643794147326, 'evidence_precision': 0.012074643249176729, 'evidence_recall': 1.0, 'evidence_f1': 0.02386117136659436, 'similarity_metrics': np.float32(0.94610405), 'contradiction': 0.1790395975112915}","{'distance': 0.9635666347075743, 'evidence_accuracy': 0.030272452068617558, 'evidence_precision': 0.01131687242798354, 'evidence_recall': 1.0, 'evidence_f1': 0.022380467955239066, 'similarity_metrics': np.float32(0.6041623), 'contradiction': 0.02282218635082245}","{'distance': 0.9554695062923524, 'evidence_accuracy': 0.034308779011099896, 'evidence_precision': 0.011363636363636364, 'evidence_recall': 1.0, 'evidence_f1': 0.02247191011235955, 'similarity_metrics': np.float32(0.58002454), 'contradiction': 0.22155898809432983}","{'distance': 0.3790005614823133, 'evidence_accuracy': 0.5539858728557013, 'evidence_precision': 0.009111617312072893, 'evidence_recall': 0.36363636363636365, 'evidence_f1': 0.017777777777777778, 'similarity_metrics': np.float32(0.9789062), 'contradiction': 0.6939549446105957}","{'distance': 0.3768278965129359, 'evidence_accuracy': 0.5560040363269425, 'evidence_precision': 0.009153318077803204, 'evidence_recall': 0.36363636363636365, 'evidence_f1': 0.017857142857142856, 'similarity_metrics': np.float32(0.9870703), 'contradiction': 0.8294519186019897}",,"{'distance': 0.0010090817356205317, 'evidence_accuracy': 0.987891019172553, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(1.0), 'contradiction': 0.018442898988723755}"
"{'distance': 0.36962247585601404, 'evidence_accuracy': 0.5103338632750397, 'evidence_precision': 0.018518518518518517, 'evidence_recall': 0.10416666666666667, 'evidence_f1': 0.031446540880503145, 'similarity_metrics': np.float32(0.9960042), 'contradiction': 0.4871143698692322}","{'distance': 0.3731343283582089, 'evidence_accuracy': 0.5071542130365659, 'evidence_precision': 0.01838235294117647, 'evidence_recall': 0.10416666666666667, 'evidence_f1': 0.03125, 'similarity_metrics': np.float32(0.99573374), 'contradiction': 0.49106454849243164}","{'distance': 0.37554969217238343, 'evidence_accuracy': 0.5039745627980922, 'evidence_precision': 0.01824817518248175, 'evidence_recall': 0.10416666666666667, 'evidence_f1': 0.031055900621118012, 'similarity_metrics': np.float32(0.99573374), 'contradiction': 0.49106454849243164}","{'distance': 0.34310344827586203, 'evidence_accuracy': 0.56120826709062, 'evidence_precision': 0.04032258064516129, 'evidence_recall': 0.20833333333333334, 'evidence_f1': 0.06756756756756756, 'similarity_metrics': np.float32(0.98831666), 'contradiction': 0.9867141842842102}","{'distance': 0.36458333333333337, 'evidence_accuracy': 0.5405405405405406, 'evidence_precision': 0.04182509505703422, 'evidence_recall': 0.22916666666666666, 'evidence_f1': 0.0707395498392283, 'similarity_metrics': np.float32(0.9828514), 'contradiction': 0.981289803981781}","{'distance': 0.3699825479930192, 'evidence_accuracy': 0.5294117647058824, 'evidence_precision': 0.03731343283582089, 'evidence_recall': 0.20833333333333334, 'evidence_f1': 0.06329113924050632, 'similarity_metrics': np.float32(0.9908184), 'contradiction': 0.979761004447937}","{'distance': 0.0015898251192368873, 'evidence_accuracy': 0.9220985691573926, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.99999994), 'contradiction': 0.09820086508989334}"
,,,"{'distance': 0.2927241962774958, 'evidence_accuracy': 0.5352760736196319, 'evidence_precision': 0.2264957264957265, 'evidence_recall': 0.3028571428571429, 'evidence_f1': 0.25916870415647925, 'similarity_metrics': np.float32(0.9902601), 'contradiction': 0.18015886843204498}",,,"{'distance': 0.004601226993865004, 'evidence_accuracy': 0.7331288343558282, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.011428571428571429, 'evidence_f1': 0.02247191011235955, 'similarity_metrics': np.float32(0.99805665), 'contradiction': 0.01181134581565857}"
"{'distance': 0.927536231884058, 'evidence_accuracy': 0.13204951856946354, 'evidence_precision': 0.10473457675753228, 'evidence_recall': 0.9125, 'evidence_f1': 0.1879021879021879, 'similarity_metrics': np.float32(0.9150593), 'contradiction': 0.312703013420105}","{'distance': 0.8644470868014269, 'evidence_accuracy': 0.1609353507565337, 'evidence_precision': 0.1044776119402985, 'evidence_recall': 0.875, 'evidence_f1': 0.18666666666666668, 'similarity_metrics': np.float32(0.9162418), 'contradiction': 0.4990706443786621}","{'distance': 0.8892900120336944, 'evidence_accuracy': 0.15405777166437415, 'evidence_precision': 0.10719530102790015, 'evidence_recall': 0.9125, 'evidence_f1': 0.19185282522996058, 'similarity_metrics': np.float32(0.72030663), 'contradiction': 0.8510605692863464}","{'distance': 0.34135338345864663, 'evidence_accuracy': 0.5570839064649243, 'evidence_precision': 0.08275862068965517, 'evidence_recall': 0.3, 'evidence_f1': 0.12972972972972974, 'similarity_metrics': np.float32(0.9787297), 'contradiction': 0.9785453081130981}","{'distance': 0.13775874375446107, 'evidence_accuracy': 0.7647867950481431, 'evidence_precision': 0.13008130081300814, 'evidence_recall': 0.2, 'evidence_f1': 0.1576354679802956, 'similarity_metrics': np.float32(0.9844749), 'contradiction': 0.9936157464981079}","{'distance': 0.14021352313167257, 'evidence_accuracy': 0.7702888583218707, 'evidence_precision': 0.14634146341463414, 'evidence_recall': 0.225, 'evidence_f1': 0.17733990147783252, 'similarity_metrics': np.float32(0.95721304), 'contradiction': 0.9888765215873718}","{'distance': 0.0027510316368638543, 'evidence_accuracy': 0.8927097661623109, 'evidence_precision': 1.0, 'evidence_recall': 0.025, 'evidence_f1': 0.04878048780487806, 'similarity_metrics': np.float32(0.99846727), 'contradiction': 0.0735224112868309}"
"{'distance': 0.26436781609195403, 'evidence_accuracy': 0.60549558390579, 'evidence_precision': 0.2276657060518732, 'evidence_recall': 0.37089201877934275, 'evidence_f1': 0.28214285714285714, 'similarity_metrics': np.float32(0.9993419), 'contradiction': 0.06807371228933334}",,,"{'distance': 0.31447225244831334, 'evidence_accuracy': 0.5574092247301276, 'evidence_precision': 0.19642857142857142, 'evidence_recall': 0.3615023474178404, 'evidence_f1': 0.2545454545454546, 'similarity_metrics': np.float32(0.9820531), 'contradiction': 0.983221173286438}","{'distance': 0.864841745081266, 'evidence_accuracy': 0.2718351324828263, 'evidence_precision': 0.22069693769799367, 'evidence_recall': 0.9812206572769953, 'evidence_f1': 0.3603448275862069, 'similarity_metrics': np.float32(0.92794085), 'contradiction': 0.990445613861084}","{'distance': 0.30146659424225963, 'evidence_accuracy': 0.6457311089303238, 'evidence_precision': 0.30319148936170215, 'evidence_recall': 0.5352112676056338, 'evidence_f1': 0.3870967741935484, 'similarity_metrics': np.float32(0.9804728), 'contradiction': 0.9876980185508728}","{'distance': 0.016683022571148176, 'evidence_accuracy': 0.774288518155054, 'evidence_precision': 0.05263157894736842, 'evidence_recall': 0.004694835680751174, 'evidence_f1': 0.008620689655172415, 'similarity_metrics': np.float32(0.97867966), 'contradiction': 0.0517084077000618}"
,,,"{'distance': 0.8948905109489051, 'evidence_accuracy': 0.2798507462686567, 'evidence_precision': 0.2490118577075099, 'evidence_recall': 0.9545454545454546, 'evidence_f1': 0.39498432601880884, 'similarity_metrics': np.float32(0.782215), 'contradiction': 0.8861809372901917}","{'distance': 0.9269005847953217, 'evidence_accuracy': 0.27798507462686567, 'evidence_precision': 0.2524271844660194, 'evidence_recall': 0.9848484848484849, 'evidence_f1': 0.401854714064915, 'similarity_metrics': np.float32(0.7517724), 'contradiction': 0.8932555913925171}","{'distance': 0.36016511867905054, 'evidence_accuracy': 0.5410447761194029, 'evidence_precision': 0.24778761061946902, 'evidence_recall': 0.42424242424242425, 'evidence_f1': 0.3128491620111732, 'similarity_metrics': np.float32(0.9894469), 'contradiction': 0.9946702122688293}","{'distance': 0.027985074626865725, 'evidence_accuracy': 0.7294776119402985, 'evidence_precision': 0.06666666666666667, 'evidence_recall': 0.007575757575757576, 'evidence_f1': 0.013605442176870748, 'similarity_metrics': np.float32(0.81822526), 'contradiction': 0.07659536600112915}"
,,,"{'distance': 0.3992712129099427, 'evidence_accuracy': 0.5803571428571429, 'evidence_precision': 0.2426470588235294, 'evidence_recall': 0.6947368421052632, 'evidence_f1': 0.35967302452316074, 'similarity_metrics': np.float32(0.95037913), 'contradiction': 0.9877290725708008}",,,"{'distance': 0.0017857142857142794, 'evidence_accuracy': 0.8285714285714286, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.99999994), 'contradiction': 0.011707354336977005}"
,,,,,,"{'distance': 0.00324324324324321, 'evidence_accuracy': 0.9243243243243243, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.014492753623188406, 'evidence_f1': 0.027777777777777776, 'similarity_metrics': np.float32(0.98498976), 'contradiction': 0.11534120887517929}"
"{'distance': 0.9485627836611195, 'evidence_accuracy': 0.3504273504273504, 'evidence_precision': 0.34782608695652173, 'evidence_recall': 0.975609756097561, 'evidence_f1': 0.5128205128205128, 'similarity_metrics': np.float32(0.69112873), 'contradiction': 0.9609078168869019}",,,"{'distance': 0.9055330634278003, 'evidence_accuracy': 0.3452991452991453, 'evidence_precision': 0.338768115942029, 'evidence_recall': 0.9121951219512195, 'evidence_f1': 0.49405548216644657, 'similarity_metrics': np.float32(0.7401689), 'contradiction': 0.9926006197929382}","{'distance': 0.9837662337662337, 'evidence_accuracy': 0.358974358974359, 'evidence_precision': 0.35344827586206895, 'evidence_recall': 1.0, 'evidence_f1': 0.5222929936305732, 'similarity_metrics': np.float32(0.6320355), 'contradiction': 0.9945648908615112}","{'distance': 0.4001910219675263, 'evidence_accuracy': 0.5726495726495726, 'evidence_precision': 0.41697416974169743, 'evidence_recall': 0.551219512195122, 'evidence_f1': 0.4747899159663866, 'similarity_metrics': np.float32(0.9004259), 'contradiction': 0.9955476522445679}","{'distance': 0.00512820512820511, 'evidence_accuracy': 0.6512820512820513, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.00975609756097561, 'evidence_f1': 0.019230769230769232, 'similarity_metrics': np.float32(0.9942808), 'contradiction': 0.05854883790016174}"
"{'distance': 0.8985976267529665, 'evidence_accuracy': 0.1770700636942675, 'evidence_precision': 0.16756756756756758, 'evidence_recall': 0.8051948051948052, 'evidence_f1': 0.2774049217002237, 'similarity_metrics': np.float32(0.7846149), 'contradiction': 0.17643316090106964}",,,,,,"{'distance': 0.014012738853503182, 'evidence_accuracy': 0.8050955414012739, 'evidence_precision': 0.5454545454545454, 'evidence_recall': 0.03896103896103896, 'evidence_f1': 0.07272727272727272, 'similarity_metrics': np.float32(0.97297794), 'contradiction': 0.20718879997730255}"
"{'distance': 0.8512658227848101, 'evidence_accuracy': 0.3127659574468085, 'evidence_precision': 0.29009433962264153, 'evidence_recall': 0.8482758620689655, 'evidence_f1': 0.4323374340949034, 'similarity_metrics': np.float32(0.66000473), 'contradiction': 0.9669756889343262}","{'distance': 0.892925430210325, 'evidence_accuracy': 0.3276595744680851, 'evidence_precision': 0.30699774266365687, 'evidence_recall': 0.9379310344827586, 'evidence_f1': 0.46258503401360546, 'similarity_metrics': np.float32(0.81941736), 'contradiction': 0.9673334360122681}",,"{'distance': 0.828665568369028, 'evidence_accuracy': 0.28085106382978725, 'evidence_precision': 0.27816091954022987, 'evidence_recall': 0.8344827586206897, 'evidence_f1': 0.41724137931034483, 'similarity_metrics': np.float32(0.72719884), 'contradiction': 0.9908760786056519}","{'distance': 0.9033989266547406, 'evidence_accuracy': 0.35319148936170214, 'evidence_precision': 0.32054176072234764, 'evidence_recall': 0.9793103448275862, 'evidence_f1': 0.48299319727891166, 'similarity_metrics': np.float32(0.7483502), 'contradiction': 0.9813755750656128}","{'distance': 0.455594002306805, 'evidence_accuracy': 0.4829787234042553, 'evidence_precision': 0.3024193548387097, 'evidence_recall': 0.5172413793103449, 'evidence_f1': 0.3816793893129771, 'similarity_metrics': np.float32(0.90835947), 'contradiction': 0.9935423135757446}","{'distance': 0.0021276595744680327, 'evidence_accuracy': 0.6936170212765957, 'evidence_precision': 1.0, 'evidence_recall': 0.006896551724137931, 'evidence_f1': 0.0136986301369863, 'similarity_metrics': np.float32(0.9988991), 'contradiction': 0.022336892783641815}"
,"{'distance': 0.9337979094076655, 'evidence_accuracy': 0.31208997188378634, 'evidence_precision': 0.2880698351115422, 'evidence_recall': 1.0, 'evidence_f1': 0.44728915662650603, 'similarity_metrics': np.float32(0.8309481), 'contradiction': 0.010564377531409264}","{'distance': 0.8745704467353952, 'evidence_accuracy': 0.3467666354264292, 'evidence_precision': 0.2987927565392354, 'evidence_recall': 1.0, 'evidence_f1': 0.4601084430673896, 'similarity_metrics': np.float32(0.8458206), 'contradiction': 0.022212481126189232}","{'distance': 0.3988127361036158, 'evidence_accuracy': 0.5173383317713215, 'evidence_precision': 0.28627450980392155, 'evidence_recall': 0.49158249158249157, 'evidence_f1': 0.3618339529120198, 'similarity_metrics': np.float32(0.9949293), 'contradiction': 0.9168602228164673}",,"{'distance': 0.40563991323210413, 'evidence_accuracy': 0.5126522961574508, 'evidence_precision': 0.28516377649325625, 'evidence_recall': 0.4983164983164983, 'evidence_f1': 0.3627450980392157, 'similarity_metrics': np.float32(0.9771024), 'contradiction': 0.5595312118530273}","{'distance': 0.005623242736644829, 'evidence_accuracy': 0.7235238987816307, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.013468013468013467, 'evidence_f1': 0.0264026402640264, 'similarity_metrics': np.float32(1.0000002), 'contradiction': 0.1708088368177414}"
,,,,,,"{'distance': 0.0016750418760469454, 'evidence_accuracy': 0.7437185929648241, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(1.0000001), 'contradiction': 0.006703547202050686}"
